Time [ns],phase_acc
                9720, 47662
                9728,238312
                9736,428962
                9744, 95325
                9752,285975
                9760,476625
                9768,142987
                9776,333637
                9784,524287
                9792,190650
                9800,381300
                9808, 47662
                9816,238312
                9824,428962
                9832, 95325
                9840,285975
                9848,476625
                9856,142987
                9864,333637
                9872,524287
                9880,190650
                9888,381300
                9896, 47662
                9904,238312
                9912,428962
                9920, 95325
                9928,285975
                9936,476625
                9944,142987
                9952,333637
                9960,524287
                9968,190650
                9976,381300
                9984, 47662
                9992,238312
               10000,428962
               10008, 95325
               10016,285975
               10024,476625
               10032,142987
               10040,333637
               10048,524287
               10056,190650
               10064,381300
               10072, 47662
               10080,238312
               10088,428962
               10096, 95325
               10104,285975
               10112,476625
               10120,142987
               10128,333637
               10136,524287
               10144,190650
               10152,381300
               10160, 47662
               10168,238312
               10176,428962
               10184, 95325
               10192,285975
               10200,476625
               10208,142987
               10216,333637
               10224,524287
               10232,190650
               10240,381300
               10248, 47662
               10256,238312
               10264,428962
               10272, 95325
               10280,285975
               10288,476625
               10296,142987
               10304,333637
               10312,524287
               10320,190650
               10328,381300
               10336, 47662
               10344,238312
               10352,428962
               10360, 95325
               10368,285975
               10376,476625
               10384,142987
               10392,333637
               10400,524287
               10408,190650
               10416,381300
               10424, 47662
               10432,238312
               10440,428962
               10448, 95325
               10456,285975
               10464,476625
               10472,142987
               10480,333637
               10488,524287
               10496,190650
               10504,381300
               10512, 47662
               10520,238312
               10528,428962
               10536, 95325
               10544,285975
               10552,476625
               10560,142987
               10568,333637
               10576,524287
               10584,190650
               10592,381300
               10600, 47662
               10608,238312
               10616,428962
               10624, 95325
               10632,285975
               10640,476625
               10648,142987
               10656,333637
               10664,524287
               10672,190650
               10680,381300
               10688, 47662
               10696,238312
               10704,428962
               10712, 95325
               10720,285975
               10728,476625
               10736,142987
               10744,333637
               10752,524287
               10760,190650
               10768,381300
               10776, 47662
               10784,238312
               10792,428962
               10800, 95325
               10808,285975
               10816,476625
               10824,142987
               10832,333637
               10840,524287
               10848,190650
               10856,381300
               10864, 47662
               10872,238312
               10880,428962
               10888, 95325
               10896,285975
               10904,476625
               10912,142987
               10920,333637
               10928,524287
               10936,190650
               10944,381300
               10952, 47662
               10960,238312
               10968,428962
               10976, 95325
               10984,285975
               10992,476625
               11000,142987
               11008,333637
               11016,524287
               11024,190650
               11032,381300
               11040, 47662
               11048,238312
               11056,428962
               11064, 95325
               11072,285975
               11080,476625
               11088,142987
               11096,333637
               11104,524287
               11112,190650
               11120,381300
               11128, 47662
               11136,238312
               11144,428962
               11152, 95325
               11160,285975
               11168,476625
               11176,142987
               11184,333637
               11192,524287
               11200,190650
               11208,381300
               11216, 47662
               11224,238312
               11232,428962
               11240, 95325
               11248,285975
               11256,476625
               11264,142987
               11272,333637
               11280,524287
               11288,190650
               11296,381300
               11304, 47662
               11312,238312
               11320,428962
               11328, 95325
               11336,285975
               11344,476625
               11352,142987
               11360,333637
               11368,524287
               11376,190650
               11384,381300
               11392, 47662
               11400,238312
               11408,428962
               11416, 95325
               11424,285975
               11432,476625
               11440,142987
               11448,333637
               11456,524287
               11464,190650
               11472,381300
               11480, 47662
               11488,238312
               11496,428962
               11504, 95325
               11512,285975
               11520,476625
               11528,142987
               11536,333637
               11544,524287
               11552,190650
               11560,381300
               11568, 47662
               11576,238312
               11584,428962
               11592, 95325
               11600,285975
               11608,476625
               11616,142987
               11624,333637
               11632,524287
               11640,190650
               11648,381300
               11656, 47662
               11664,238312
               11672,428962
               11680, 95325
               11688,285975
               11696,476625
               11704,142987
               11712,333637
               11720,524287
               11728,190650
               11736,381300
               11744, 47662
               11752,238312
               11760,428962
               11768, 95325
               11776,285975
               11784,476625
               11792,142987
               11800,333637
               11808,524287
               11816,190650
               11824,381300
               11832, 47662
               11840,238312
               11848,428962
               11856, 95325
               11864,285975
               11872,476625
               11880,142987
               11888,333637
               11896,524287
               11904,190650
               11912,381300
               11920, 47662
               11928,238312
               11936,428962
               11944, 95325
               11952,285975
               11960,476625
               11968,142987
               11976,333637
               11984,524287
               11992,190650
               12000,381300
               12008, 47662
               12016,238312
               12024,428962
               12032, 95325
               12040,285975
               12048,476625
               12056,142987
               12064,333637
               12072,524287
               12080,190650
               12088,381300
               12096, 47662
               12104,238312
               12112,428962
               12120, 95325
               12128,285975
               12136,476625
               12144,142987
               12152,333637
               12160,524287
               12168,190650
               12176,381300
               12184, 47662
               12192,238312
               12200,428962
               12208, 95325
               12216,285975
               12224,476625
               12232,142987
               12240,333637
               12248,524287
               12256,190650
               12264,381300
               12272, 47662
               12280,238312
               12288,428962
               12296, 95325
               12304,285975
               12312,476625
               12320,142987
               12328,333637
               12336,524287
               12344,190650
               12352,381300
               12360, 47662
               12368,238312
               12376,428962
               12384, 95325
               12392,285975
               12400,476625
               12408,142987
               12416,333637
               12424,524287
               12432,190650
               12440,381300
               12448, 47662
               12456,238312
               12464,428962
               12472, 95325
               12480,285975
               12488,476625
               12496,142987
               12504,333637
               12512,524287
               12520,190650
               12528,381300
               12536, 47662
               12544,238312
               12552,428962
               12560, 95325
               12568,285975
               12576,476625
               12584,142987
               12592,333637
               12600,524287
               12608,190650
               12616,381300
               12624, 47662
               12632,238312
               12640,428962
               12648, 95325
               12656,285975
               12664,476625
               12672,142987
               12680,333637
               12688,524287
               12696,190650
               12704,381300
               12712, 47662
               12720,238312
               12728,428962
               12736, 95325
               12744,285975
               12752,476625
               12760,142987
               12768,333637
               12776,524287
               12784,190650
               12792,381300
               12800, 47662
               12808,238312
               12816,428962
               12824, 95325
               12832,285975
               12840,476625
               12848,142987
               12856,333637
               12864,524287
