Time [ns],phase_acc
               10832, 68385
               10840,159565
               10848,250746
               10856,341926
               10864,433107
               10872,524287
               10880, 91180
               10888,182361
               10896,273541
               10904,364722
               10912,455902
               10920, 22795
               10928,113975
               10936,205156
               10944,296336
               10952,387517
               10960,478697
               10968, 45590
               10976,136770
               10984,227951
               10992,319131
               11000,410312
               11008,501492
               11016, 68385
               11024,159565
               11032,250746
               11040,341926
               11048,433107
               11056,524287
               11064, 91180
               11072,182361
               11080,273541
               11088,364722
               11096,455902
               11104, 22795
               11112,113975
               11120,205156
               11128,296336
               11136,387517
               11144,478697
               11152, 45590
               11160,136770
               11168,227951
               11176,319131
               11184,410312
               11192,501492
               11200, 68385
               11208,159565
               11216,250746
               11224,341926
               11232,433107
               11240,524287
               11248, 91180
               11256,182361
               11264,273541
               11272,364722
               11280,455902
               11288, 22795
               11296,113975
               11304,205156
               11312,296336
               11320,387517
               11328,478697
               11336, 45590
               11344,136770
               11352,227951
               11360,319131
               11368,410312
               11376,501492
               11384, 68385
               11392,159565
               11400,250746
               11408,341926
               11416,433107
               11424,524287
               11432, 91180
               11440,182361
               11448,273541
               11456,364722
               11464,455902
               11472, 22795
               11480,113975
               11488,205156
               11496,296336
               11504,387517
               11512,478697
               11520, 45590
               11528,136770
               11536,227951
               11544,319131
               11552,410312
               11560,501492
               11568, 68385
               11576,159565
               11584,250746
               11592,341926
               11600,433107
               11608,524287
               11616, 91180
               11624,182361
               11632,273541
               11640,364722
               11648,455902
               11656, 22795
               11664,113975
               11672,205156
               11680,296336
               11688,387517
               11696,478697
               11704, 45590
               11712,136770
               11720,227951
               11728,319131
               11736,410312
               11744,501492
               11752, 68385
               11760,159565
               11768,250746
               11776,341926
               11784,433107
               11792,524287
               11800, 91180
               11808,182361
               11816,273541
               11824,364722
               11832,455902
               11840, 22795
               11848,113975
               11856,205156
               11864,296336
               11872,387517
               11880,478697
               11888, 45590
               11896,136770
               11904,227951
               11912,319131
               11920,410312
               11928,501492
               11936, 68385
               11944,159565
               11952,250746
               11960,341926
               11968,433107
               11976,524287
               11984, 91180
               11992,182361
               12000,273541
               12008,364722
               12016,455902
               12024, 22795
               12032,113975
               12040,205156
               12048,296336
               12056,387517
               12064,478697
               12072, 45590
               12080,136770
               12088,227951
               12096,319131
               12104,410312
               12112,501492
               12120, 68385
               12128,159565
               12136,250746
               12144,341926
               12152,433107
               12160,524287
               12168, 91180
               12176,182361
               12184,273541
               12192,364722
               12200,455902
               12208, 22795
               12216,113975
               12224,205156
               12232,296336
               12240,387517
               12248,478697
               12256, 45590
               12264,136770
               12272,227951
               12280,319131
               12288,410312
               12296,501492
               12304, 68385
               12312,159565
               12320,250746
               12328,341926
               12336,433107
               12344,524287
               12352, 91180
               12360,182361
               12368,273541
               12376,364722
               12384,455902
               12392, 22795
               12400,113975
               12408,205156
               12416,296336
               12424,387517
               12432,478697
               12440, 45590
               12448,136770
               12456,227951
               12464,319131
               12472,410312
               12480,501492
               12488, 68385
               12496,159565
               12504,250746
               12512,341926
               12520,433107
               12528,524287
               12536, 91180
               12544,182361
               12552,273541
               12560,364722
               12568,455902
               12576, 22795
               12584,113975
               12592,205156
               12600,296336
               12608,387517
               12616,478697
               12624, 45590
               12632,136770
               12640,227951
               12648,319131
               12656,410312
               12664,501492
               12672, 68385
               12680,159565
               12688,250746
               12696,341926
               12704,433107
               12712,524287
               12720, 91180
               12728,182361
               12736,273541
               12744,364722
               12752,455902
               12760, 22795
               12768,113975
               12776,205156
               12784,296336
               12792,387517
               12800,478697
               12808, 45590
               12816,136770
               12824,227951
               12832,319131
               12840,410312
               12848,501492
               12856, 68385
               12864,159565
