  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    6930,        0,    15971,    11528,    32436,        0,    13042
    6950,        0,    15949,    11559,    32437,        0,    13083
    6970,        0,    15927,    11590,    32437,        0,    13123
    6990,        0,    15905,    11621,    32438,        0,    13163
    7010,        0,    15883,    11652,    32439,        0,    13203
    7030,        0,    15861,    11683,    32440,        0,    13244
    7050,        0,    15839,    11713,    32440,        0,    13283
    7070,        0,    15817,    11743,    32441,        0,    13322
    7090,        0,    15795,    11773,    32441,        0,    13362
    7110,        0,    15773,    11803,    32442,        0,    13401
    7130,        0,    15750,    11833,    32441,        0,    13441
    7150,        0,    15727,    11863,    32440,        0,    13481
    7170,        0,    15704,    11893,    32440,        0,    13521
    7190,        0,    15681,    11923,    32440,        0,    13561
    7210,        0,    15658,    11953,    32439,        0,    13601
    7230,        0,    15635,    11983,    32439,        0,    13641
    7250,        0,    15612,    12013,    32439,        0,    13682
    7270,        0,    15589,    12043,    32440,        0,    13721
    7290,        0,    15566,    12073,    32440,        0,    13762
    7310,        0,    15543,    12103,    32440,        0,    13801
    7330,        0,    15520,    12133,    32441,        0,    13842
    7350,        0,    15497,    12163,    32441,        0,    13882
    7370,        0,    15474,    12193,    32442,        0,    13922
    7390,        0,    15451,    12223,    32443,        0,    13962
    7410,        0,    15428,    12253,    32444,        0,    14002
    7430,        0,    15405,    12283,    32445,        0,    14042
    7450,        0,    15382,    12313,    32446,        0,    14082
    7470,        0,    15358,    12343,    32447,        0,    14122
    7490,        0,    15334,    12372,    32446,        0,    14162
    7510,        0,    15310,    12401,    32445,        0,    14202
    7530,        0,    15286,    12430,    32444,        0,    14242
    7550,        0,    15262,    12459,    32444,        0,    14282
    7570,        0,    15238,    12488,    32444,        0,    14322
    7590,        0,    15214,    12517,    32443,        0,    14362
    7610,        0,    15190,    12546,    32443,        0,    14401
    7630,        0,    15166,    12575,    32443,        0,    14441
    7650,        0,    15142,    12604,    32443,        0,    14481
    7670,        0,    15118,    12633,    32444,        0,    14521
    7690,        0,    15094,    12662,    32444,        0,    14561
    7710,        0,    15070,    12691,    32444,        0,    14601
    7730,        0,    15046,    12720,    32445,        0,    14641
    7750,        0,    15022,    12749,    32446,        0,    14680
    7770,        0,    14998,    12778,    32447,        0,    14720
    7790,        0,    14974,    12807,    32447,        0,    14760
    7810,        0,    14949,    12836,    32447,        0,    14801
    7830,        0,    14924,    12865,    32447,        0,    14841
    7850,        0,    14899,    12894,    32447,        0,    14882
    7870,        0,    14874,    12923,    32448,        0,    14922
    7890,        0,    14849,    12952,    32448,        0,    14963
    7910,        0,    14824,    12981,    32448,        0,    15003
    7930,        0,    14799,    13009,    32448,        0,    15043
    7950,        0,    14774,    13037,    32447,        0,    15083
    7970,        0,    14749,    13065,    32447,        0,    15123
    7990,        0,    14724,    13093,    32447,        0,    15162
    8010,        0,    14699,    13121,    32447,        0,    15202
    8030,        0,    14674,    13149,    32447,        0,    15242
    8050,        0,    14649,    13177,    32447,        0,    15282
    8070,        0,    14624,    13205,    32447,        0,    15321
    8090,        0,    14599,    13233,    32448,        0,    15361
    8110,        0,    14574,    13261,    32448,        0,    15401
    8130,        0,    14549,    13289,    32449,        0,    15440
    8150,        0,    14524,    13317,    32450,        0,    15480
    8170,        0,    14498,    13345,    32449,        0,    15521
    8190,        0,    14472,    13373,    32449,        0,    15561
    8210,        0,    14446,    13401,    32449,        0,    15602
    8230,        0,    14420,    13429,    32449,        0,    15642
    8250,        0,    14394,    13457,    32449,        0,    15682
    8270,        0,    14368,    13485,    32449,        0,    15723
    8290,        0,    14342,    13513,    32450,        0,    15763
    8310,        0,    14316,    13541,    32450,        0,    15804
    8330,        0,    14290,    13568,    32450,        0,    15843
    8350,        0,    14264,    13595,    32449,        0,    15883
    8370,        0,    14238,    13622,    32449,        0,    15923
    8390,        0,    14212,    13649,    32449,        0,    15963
    8410,        0,    14186,    13676,    32449,        0,    16002
    8430,        0,    14160,    13703,    32449,        0,    16042
    8450,        0,    14134,    13730,    32449,        0,    16082
    8470,        0,    14108,    13757,    32450,        0,    16121
    8490,        0,    14082,    13784,    32450,        0,    16161
    8510,        0,    14056,    13811,    32451,        0,    16201
    8530,        0,    14030,    13838,    32451,        0,    16240
    8550,        0,    14003,    13865,    32451,        0,    16281
    8570,        0,    13976,    13892,    32451,        0,    16321
    8590,        0,    13949,    13919,    32451,        0,    16362
    8610,        0,    13922,    13946,    32451,        0,    16402
    8630,        0,    13895,    13973,    32451,        0,    16442
    8650,        0,    13868,    14000,    32451,        0,    16483
    8670,        0,    13841,    14027,    32451,        0,    16523
    8690,        0,    13814,    14054,    32452,        0,    16564
    8710,        0,    13787,    14080,    32451,        0,    16603
    8730,        0,    13760,    14106,    32451,        0,    16643
    8750,        0,    13733,    14132,    32450,        0,    16683
    8770,        0,    13706,    14158,    32450,        0,    16722
    8790,        0,    13679,    14184,    32450,        0,    16762
    8810,        0,    13652,    14210,    32450,        0,    16802
    8830,        0,    13625,    14236,    32450,        0,    16841
    8850,        0,    13598,    14262,    32450,        0,    16881
    8870,        0,    13571,    14288,    32451,        0,    16921
    8890,        0,    13544,    14314,    32451,        0,    16960
    8910,        0,    13517,    14340,    32452,        0,    17000
    8930,        0,    13489,    14366,    32451,        0,    17041
    8950,        0,    13461,    14392,    32451,        0,    17081
    8970,        0,    13433,    14418,    32451,        0,    17122
    8990,        0,    13405,    14444,    32451,        0,    17162
    9010,        0,    13377,    14470,    32451,        0,    17202
    9030,        0,    13349,    14496,    32451,        0,    17243
    9050,        0,    13321,    14522,    32452,        0,    17283
    9070,        0,    13293,    14548,    32452,        0,    17324
    9090,        0,    13265,    14573,    32451,        0,    17363
    9110,        0,    13237,    14598,    32451,        0,    17403
    9130,        0,    13209,    14623,    32450,        0,    17443
    9150,        0,    13181,    14648,    32450,        0,    17483
    9170,        0,    13153,    14673,    32450,        0,    17522
    9190,        0,    13125,    14698,    32450,        0,    17562
    9210,        0,    13097,    14723,    32450,        0,    17602
    9230,        0,    13069,    14748,    32450,        0,    17642
    9250,        0,    13041,    14773,    32450,        0,    17681
    9270,        0,    13013,    14798,    32451,        0,    17721
    9290,        0,    12985,    14823,    32451,        0,    17761
    9310,        0,    12957,    14848,    32452,        0,    17801
    9330,        0,    12928,    14873,    32452,        0,    17841
    9350,        0,    12899,    14898,    32451,        0,    17882
    9370,        0,    12870,    14923,    32451,        0,    17922
    9390,        0,    12841,    14948,    32451,        0,    17963
    9410,        0,    12812,    14973,    32452,        0,    18003
    9430,        0,    12783,    14998,    32452,        0,    18044
    9450,        0,    12754,    15022,    32451,        0,    18084
    9470,        0,    12725,    15046,    32450,        0,    18123
    9490,        0,    12696,    15070,    32450,        0,    18163
    9510,        0,    12667,    15094,    32449,        0,    18203
    9530,        0,    12638,    15118,    32449,        0,    18243
    9550,        0,    12609,    15142,    32449,        0,    18283
    9570,        0,    12580,    15166,    32448,        0,    18323
    9590,        0,    12551,    15190,    32449,        0,    18363
    9610,        0,    12522,    15214,    32449,        0,    18402
    9630,        0,    12493,    15238,    32449,        0,    18442
    9650,        0,    12464,    15262,    32449,        0,    18482
    9670,        0,    12435,    15286,    32450,        0,    18522
    9690,        0,    12406,    15310,    32450,        0,    18562
    9710,        0,    12377,    15334,    32451,        0,    18602
    9730,        0,    12348,    15358,    32452,        0,    18642
    9750,        0,    12319,    15382,    32453,        0,    18681
    9770,        0,    12289,    15406,    32453,        0,    18722
    9790,        0,    12259,    15430,    32453,        0,    18763
    9810,        0,    12229,    15453,    32452,        0,    18803
    9830,        0,    12199,    15476,    32451,        0,    18843
    9850,        0,    12169,    15499,    32450,        0,    18883
    9870,        0,    12139,    15522,    32449,        0,    18923
    9890,        0,    12109,    15545,    32449,        0,    18963
    9910,        0,    12079,    15568,    32449,        0,    19003
    9930,        0,    12049,    15591,    32448,        0,    19043
    9950,        0,    12019,    15614,    32448,        0,    19083
    9970,        0,    11989,    15637,    32448,        0,    19123
    9990,        0,    11959,    15660,    32448,        0,    19163
   10010,        0,    11929,    15683,    32448,        0,    19203
   10030,        0,    11899,    15706,    32449,        0,    19243
   10050,        0,    11869,    15729,    32449,        0,    19283
   10070,        0,    11839,    15752,    32449,        0,    19323
   10090,        0,    11809,    15775,    32450,        0,    19363
   10110,        0,    11779,    15798,    32451,        0,    19403
   10130,        0,    11749,    15821,    32452,        0,    19443
   10150,        0,    11719,    15843,    32451,        0,    19482
   10170,        0,    11689,    15865,    32451,        0,    19522
   10190,        0,    11659,    15887,    32451,        0,    19561
   10210,        0,    11628,    15909,    32450,        0,    19601
   10230,        0,    11597,    15931,    32449,        0,    19642
   10250,        0,    11566,    15953,    32449,        0,    19682
   10270,        0,    11535,    15975,    32448,        0,    19722
   10290,        0,    11504,    15997,    32448,        0,    19762
   10310,        0,    11473,    16019,    32447,        0,    19803
   10330,        0,    11442,    16041,    32447,        0,    19843
   10350,        0,    11411,    16063,    32447,        0,    19883
   10370,        0,    11380,    16085,    32447,        0,    19923
   10390,        0,    11349,    16107,    32447,        0,    19964
   10410,        0,    11318,    16129,    32448,        0,    20004
   10430,        0,    11287,    16151,    32448,        0,    20044
   10450,        0,    11256,    16173,    32448,        0,    20084
   10470,        0,    11225,    16194,    32448,        0,    20124
   10490,        0,    11194,    16215,    32447,        0,    20164
   10510,        0,    11163,    16236,    32447,        0,    20203
   10530,        0,    11132,    16257,    32446,        0,    20243
   10550,        0,    11101,    16278,    32446,        0,    20282
   10570,        0,    11070,    16299,    32446,        0,    20322
   10590,        0,    11039,    16320,    32446,        0,    20362
   10610,        0,    11008,    16341,    32446,        0,    20401
   10630,        0,    10977,    16362,    32446,        0,    20441
   10650,        0,    10946,    16383,    32447,        0,    20481
   10670,        0,    10915,    16404,    32447,        0,    20520
   10690,        0,    10883,    16425,    32447,        0,    20561
   10710,        0,    10851,    16446,    32446,        0,    20601
   10730,        0,    10819,    16467,    32446,        0,    20642
   10750,        0,    10787,    16488,    32446,        0,    20682
   10770,        0,    10755,    16509,    32447,        0,    20723
