  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    6930,    17755,    13568,        0,    14705,    16822,   131044
    6950,    17808,    13568,        0,    14705,    16822,       25
    6970,    17861,    13568,        0,    14705,    16822,       78
    6990,    17914,    13568,        0,    14573,    16936,   131041
    7010,    17967,    13568,        0,    14573,    16936,       22
    7030,    18020,    13568,        0,    14573,    16936,       75
    7050,    18073,    13568,        0,    14441,    17050,   131037
    7070,    18126,    13568,        0,    14441,    17050,       18
    7090,    18179,    13568,        0,    14441,    17050,       71
    7110,    18232,    13568,        0,    14307,    17162,   131033
    7130,    18285,    13568,        0,    14307,    17162,       14
    7150,    18338,    13568,        0,    14307,    17162,       67
    7170,    18391,    13568,        0,    14175,    17271,   131031
    7190,    18444,    13568,        0,    14175,    17271,       12
    7210,    18497,    13568,        0,    14175,    17271,       65
    7230,    18550,    13568,        0,    14039,    17381,   131028
    7250,    18603,    13568,        0,    14039,    17381,        9
    7270,    18656,    13568,        0,    14039,    17381,       62
    7290,    18709,    13568,        0,    13903,    17491,   131024
    7310,    18762,    13568,        0,    13903,    17491,        5
    7330,    18815,    13568,        0,    13903,    17491,       58
    7350,    18868,    13568,        0,    13766,    17599,   131020
    7370,    18921,    13568,        0,    13766,    17599,        1
    7390,    18974,    13568,        0,    13766,    17599,       54
    7410,    19027,    13568,        0,    13628,    17706,   131016
    7430,    19080,    13568,        0,    13628,    17706,   131069
    7450,    19133,    13568,        0,    13628,    17706,       50
    7470,    19186,    13568,        0,    13490,    17812,   131012
    7490,    19239,    13568,        0,    13490,    17812,   131065
    7510,    19292,    13568,        0,    13490,    17812,       46
    7530,    19345,    13568,        0,    13350,    17916,   131008
    7550,    19398,    13568,        0,    13350,    17916,   131061
    7570,    19451,    13568,        0,    13350,    17916,       42
    7590,    19504,    13568,        0,    13210,    18020,   131004
    7610,    19557,    13568,        0,    13210,    18020,   131057
    7630,    19610,    13568,        0,    13210,    18020,       38
    7650,    19663,    13568,        0,    13069,    18123,   131000
