  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout,mag_in,mag_out,Ratio,Error
3510,8162,54272,0,88946,8728,0,54272,89373.2001217367,1.6467644479978,-0.0000044479978
3530,8215,54272,0,88940,8785,0,54272,89372.8136795525,1.64675732752713,0.00000267247287
3550,8268,54272,0,88935,8841,0,54272,89373.3601583828,1.64676739678624,-0.00000739678624
3570,8321,54272,0,88929,8898,0,54272,89373.0465241059,1.64676161785278,-0.00000161785278
3590,8374,54272,0,88923,8954,0,54272,89372.6694521317,1.64675467003486,0.00000532996514
3610,8427,54272,0,88918,9011,0,54272,89373.4235944892,1.64676856564138,-0.00000856564138
3630,8480,54272,0,88912,9068,0,54272,89373.2195235239,1.64676480548946,-0.00000480548946
3650,8533,54272,0,88906,9124,0,54272,89372.9501135551,1.64675984142016,0.00000015857984
3670,8586,54272,0,88900,9180,0,54272,89372.7161945971,1.64675553129785,0.00000446870215
3690,8639,54272,0,88895,9237,0,54272,89373.6157599098,1.64677210642522,-0.00001210642522
3710,8692,54272,0,88889,9293,0,54272,89373.4533852195,1.64676911455667,-0.00000911455667
3730,8745,54272,0,88883,9350,0,54272,89373.4311135026,1.64676870418453,-0.00000870418453
3750,8798,54272,0,88877,9406,0,54272,89373.3403482269,1.6467670317701,-0.0000070317701
3770,8851,54272,0,88871,9462,0,54272,89373.2850744561,1.64676601331176,-0.00000601331176
3790,8904,54272,0,88865,9519,0,54272,89373.3717949592,1.64676761119839,-0.00000761119839
3810,8957,54272,0,88859,9575,0,54272,89373.3881309196,1.64676791220002,-0.00000791220002
3830,9010,54272,0,88852,9632,0,54272,89372.5535497336,1.64675253445116,0.00000746554884
3850,9063,54272,0,88846,9688,0,54272,89372.6415632883,1.64675415616318,0.00000584383682
3870,9116,54272,0,88840,9745,0,54272,89372.8741005905,1.64675844082751,0.00000155917249
3890,9169,54272,0,88834,9801,0,54272,89373.0337238252,1.64676138199855,-0.00000138199855
3910,9222,54272,0,88828,9858,0,54272,89373.3391342183,1.64676700940113,-0.00000700940113
3930,9275,54272,0,88821,9914,0,54272,89372.5765377725,1.64675295802205,0.00000704197795
3950,9328,54272,0,88815,9970,0,54272,89372.8433306225,1.64675787386908,0.00000212613092
3970,9381,54272,0,88809,10027,0,54272,89373.2578012014,1.64676551078275,-0.00000551078275
3990,9434,54272,0,88802,10083,0,54272,89372.6025860275,1.64675343797958,0.00000656202042
4010,9487,54272,0,88796,10140,0,54272,89373.0899991715,1.64676241891162,-0.00000241891162
4030,9540,54272,0,88789,10196,0,54272,89372.5066057789,1.64675166947558,0.00000833052442
4050,9593,54272,0,88783,10252,0,54272,89372.9522450724,1.64675988069488,0.00000011930512
4070,9646,54272,0,88776,10309,0,54272,89372.5553903434,1.6467525683657,0.0000074316343
4090,9699,54272,0,88770,10365,0,54272,89373.0727064925,1.64676210028178,-0.00000210028178
4110,9752,54272,0,88763,10421,0,54272,89372.632332275,1.64675398607523,0.00000601392477
4130,9805,54272,0,88757,10478,0,54272,89373.3379313988,1.64676698723833,-0.00000698723833
4150,9858,54272,0,88750,10534,0,54272,89372.9693811278,1.64676019643882,-0.00000019643882
4170,9911,54272,0,88743,10591,0,54272,89372.7549648102,1.64675624566646,0.00000375433354
4190,9964,54272,0,88736,10647,0,54272,89372.4583135095,1.64675077965635,0.00000922034365
4210,10017,54272,0,88730,10703,0,54272,89373.190101954,1.64676426337622,-0.00000426337622
4230,10070,54272,0,88723,10760,0,54272,89373.0850368275,1.64676232747692,-0.00000232747692
4250,10123,54272,0,88716,10816,0,54272,89372.8958465597,1.64675884151238,0.00000115848762
4270,10176,54272,0,88709,10872,0,54272,89372.7422931623,1.64675601218238,0.00000398781762
4290,10229,54272,0,88702,10928,0,54272,89372.6243768191,1.64675383949033,0.00000616050967
4310,10282,54272,0,88695,10985,0,54272,89372.6650044632,1.64675458808342,0.00000541191658
4330,10335,54272,0,88688,11042,0,54272,89372.7425337278,1.64675601661497,0.00000398338503
4350,10388,54272,0,88681,11097,0,54272,89372.6086113637,1.64675354900066,0.00000645099934
4370,10441,54272,0,88674,11154,0,54272,89372.7586683996,1.64675631390772,0.00000368609228
4390,10494,54272,0,88667,11210,0,54272,89372.8201915996,1.64675744751621,0.00000255248379
4410,10547,54272,0,88660,11267,0,54272,89373.0434135484,1.64676156053855,-0.00000156053855
4430,10600,54272,0,88653,11323,0,54272,89373.1768373487,1.64676401896648,-0.00000401896648
4450,10653,54272,0,88646,11379,0,54272,89373.3458979801,1.64676713402823,-0.00000713402823
4470,10706,54272,0,88638,11436,0,54272,89372.6867672669,1.64675498907847,0.00000501092153
4490,10759,54272,0,88631,11492,0,54272,89372.9278081456,1.64675943042721,0.00000056957279
4510,10812,54272,0,88624,11548,0,54272,89373.2044854609,1.64676452840251,-0.00000452840251
4530,10865,54272,0,88617,11604,0,54272,89373.5167988818,1.64677028299826,-0.00001028299826
4550,10918,54272,0,88609,11661,0,54272,89373.0037651191,1.64676082998819,-0.00000082998819
4570,10971,54272,0,88602,11717,0,54272,89373.388058191,1.64676791085995,-0.00000791085995
4590,11024,54272,0,88594,11773,0,54272,89372.8167006053,1.64675738319217,0.00000261680783
4610,11077,54272,0,88587,11830,0,54272,89373.4047074408,1.64676821763415,-0.00000821763415
4630,11130,54272,0,88579,11886,0,54272,89372.905497136,1.64675901933107,0.00000098066893
4650,11183,54272,0,88572,11942,0,54272,89373.4331219295,1.64676874119121,-0.00000874119121
4670,11236,54272,0,88564,11998,0,54272,89373.0054322892,1.64676086070698,-0.00000086070698
4690,11289,54272,0,88557,12055,0,54272,89373.7392862132,1.64677438248477,-0.00001438248477
4710,11342,54272,0,88549,12111,0,54272,89373.3837448264,1.64676783138315,-0.00000783138315
4730,11395,54272,0,88541,12167,0,54272,89373.0640070038,1.64676193998754,-0.00000193998754
4750,11448,54272,0,88533,12223,0,54272,89372.7800731296,1.64675670830501,0.00000329169499
4770,11501,54272,0,88526,12279,0,54272,89373.522460514,1.64677038731784,-0.00001038731784
4790,11554,54272,0,88518,12336,0,54272,89373.448070442,1.64676901662813,-0.00000901662813
4810,11607,54272,0,88510,12392,0,54272,89373.2720895906,1.64676577405643,-0.00000577405643
4830,11660,54272,0,88502,12448,0,54272,89373.1319133441,1.64676319120991,-0.00000319120991
4850,11713,54272,0,88494,12505,0,54272,89373.1674553386,1.6467638460963,-0.0000038460963
4870,11766,54272,0,88486,12561,0,54272,89373.0995154582,1.64676259425594,-0.00000259425594
4890,11819,54272,0,88478,12617,0,54272,89373.0673805034,1.64676200214666,-0.00000200214666
4910,11872,54272,0,88470,12673,0,54272,89373.0710505127,1.64676206976918,-0.00000206976918
4930,11925,54272,0,88462,12730,0,54272,89373.2529563515,1.64676542151296,-0.00000542151296
4950,11978,54272,0,88454,12785,0,54272,89373.1858053633,1.64676418420849,-0.00000418420849
4970,12031,54272,0,88446,12841,0,54272,89373.2968900667,1.64676623102275,-0.00000623102275
4990,12084,54272,0,88437,12897,0,54272,89372.4542462609,1.64675070471442,0.00000929528558
5010,12137,54272,0,88429,12954,0,54272,89372.7819696802,1.6467567432503,0.0000032567497
5030,12190,54272,0,88421,13010,0,54272,89373.0011860405,1.64676078246684,-0.00000078246684
5050,12243,54272,0,88413,13066,0,54272,89373.2562067647,1.64676548140413,-0.00000548140413
5070,12296,54272,0,88404,13123,0,54272,89372.7046977991,1.64675531946122,0.00000468053878
5090,12349,54272,0,88396,13179,0,54272,89373.0320454666,1.6467613510736,-0.0000013510736
5110,12402,54272,0,88388,13235,0,54272,89373.395196781,1.64676804239352,-0.00000804239352
5130,12455,54272,0,88379,13291,0,54272,89372.8052709548,1.64675717259277,0.00000282740723
5150,12508,54272,0,88371,13347,0,54272,89373.2401225333,1.64676518504078,-0.00000518504078
5170,12561,54272,0,88362,13403,0,54272,89372.7220856565,1.64675563984479,0.00000436015521
5190,12614,54272,0,88354,13459,0,54272,89373.2286369917,1.64676497341155,-0.00000497341155
5210,12667,54272,0,88345,13515,0,54272,89372.7824899729,1.64675675283706,0.00000324716294
5230,12720,54272,0,88337,13571,0,54272,89373.3607402116,1.64676740750685,-0.00000740750685
5250,12773,54272,0,88328,13628,0,54272,89373.1389624422,1.64676332109453,-0.00000332109453
5270,12826,54272,0,88320,13683,0,54272,89373.6364315563,1.64677248731494,-0.00001248731494
5290,12879,54272,0,88310,13740,0,54272,89372.4996853059,1.64675154196097,0.00000845803903
5310,12932,54272,0,88302,13796,0,54272,89373.2220522456,1.64676485208295,-0.00000485208295
5330,12985,54272,0,88293,13852,0,54272,89372.9923019253,1.64676061877073,-0.00000061877073
5350,13038,54272,0,88284,13908,0,54272,89372.7985463139,1.6467570486865,0.0000029513135
5370,13091,54272,0,88276,13964,0,54272,89373.6285041622,1.64677234124709,-0.00001234124709
5390,13144,54272,0,88266,14020,0,54272,89372.5190201104,1.64675189821843,0.00000810178157
5410,13197,54272,0,88258,14076,0,54272,89373.4207692645,1.64676851358462,-0.00000851358462
5430,13250,54272,0,88248,14132,0,54272,89372.3834749863,1.64674940070361,0.00001059929639
5450,13303,54272,0,88240,14188,0,54272,89373.3570142691,1.64676733885372,-0.00000733885372
5470,13356,54272,0,88230,14245,0,54272,89372.5512951264,1.64675249290843,0.00000750709157
5490,13409,54272,0,88221,14300,0,54272,89372.4501230664,1.64675062874164,0.00000937125836
5510,13462,54272,0,88212,14356,0,54272,89372.5443299003,1.64675236456921,0.00000763543079
5530,13515,54272,0,88203,14412,0,54272,89372.6745319843,1.64675476363473,0.00000523636527
5550,13568,54272,0,88194,14469,0,54272,89373.0026182404,1.64676080885614,-0.00000080885614
